doctor_id,first_name,last_name,specialization,phone_number,email,department,experience_years
201,James,Williams,Cardiology,5551012345,james.w@example.com,Cardiology,15
202,Patricia,Brown,Neurology,5551023456,patricia.b@example.com,Neurology,12
203,Robert,Jones,Orthopedics,5551034567,robert.j@example.com,Orthopedics,10
204,Linda,Davis,Dermatology,5551045678,linda.d@example.com,Dermatology,8
205,Michael,Garcia,Pediatrics,5551056789,michael.g@example.com,Pediatrics,11
206,Barbara,Martinez,Oncology,5551067890,barbara.m@example.com,Oncology,14
207,William,Robinson,Endocrinology,5551078901,william.r@example.com,Endocrinology,9
208,Elizabeth,Clark,Anesthesiology,5551089012,elizabeth.c@example.com,Anesthesiology,16
209,David,Rodriguez,Gastroenterology,5551090123,david.r@example.com,Gastroenterology,13
210,Susan,Lewis,Ophthalmology,5551101234,susan.l@example.com,Ophthalmology,7
211,Joseph,Lee,Cardiology,5551112345,joseph.l@example.com,Cardiology,10
212,Karen,Walker,Neurology,5551123456,karen.w@example.com,Neurology,8
213,Charles,Harris,Orthopedics,5551134567,charles.h@example.com,Orthopedics,12
214,Nancy,Young,Dermatology,5551145678,nancy.y@example.com,Dermatology,6
215,Thomas,King,Pediatrics,5551156789,thomas.k@example.com,Pediatrics,10
216,Mary,Allen,Oncology,5551167890,mary.a@example.com,Oncology,9
217,Christopher,Wright,Endocrinology,5551178901,christopher.w@example.com,Endocrinology,15
218,Lisa,Lopez,Anesthesiology,5551189012,lisa.l@example.com,Anesthesiology,14
219,Daniel,Hill,Gastroenterology,5551190123,daniel.h@example.com,Gastroenterology,11
220,Sarah,Scott,Ophthalmology,5551201234,sarah.s@example.com,Ophthalmology,5
221,Mark,Green,Cardiology,5551212345,mark.g@example.com,Cardiology,7
222,Sandra,Adams,Neurology,5551223456,sandra.a@example.com,Neurology,13
223,Paul,Nelson,Orthopedics,5551234567,paul.n@example.com,Orthopedics,11
224,Jennifer,Baker,Dermatology,5551245678,jennifer.b@example.com,Dermatology,9
225,Steven,Campbell,Pediatrics,5551256789,steven.c@example.com,Pediatrics,8
226,Dorothy,Mitchell,Oncology,5551267890,dorothy.m@example.com,Oncology,16
227,Kevin,Roberts,Endocrinology,5551278901,kevin.r@example.com,Endocrinology,10
228,Betty,Carter,Anesthesiology,5551289012,betty.c@example.com,Anesthesiology,12
229,Brian,Phillips,Gastroenterology,5551290123,brian.p@example.com,Gastroenterology,13
230,Doris,Evans,Ophthalmology,5551301234,doris.e@example.com,Ophthalmology,14
231,Donald,Turner,Cardiology,5551312345,donald.t@example.com,Cardiology,15
232,Helen,Parker,Neurology,5551323456,helen.p@example.com,Neurology,9
233,George,Collins,Orthopedics,5551334567,george.c@example.com,Orthopedics,10
234,Karen,Edwards,Dermatology,5551345678,karen.e@example.com,Dermatology,6
235,Frank,Stewart,Pediatrics,5551356789,frank.s@example.com,Pediatrics,12
236,Donna,Morris,Oncology,5551367890,donna.m@example.com,Oncology,13
237,Edward,Rogers,Endocrinology,5551378901,edward.r@example.com,Endocrinology,14
238,Sharon,Reed,Anesthesiology,5551389012,sharon.r@example.com,Anesthesiology,11
239,Scott,Cook,Gastroenterology,5551390123,scott.c@example.com,Gastroenterology,8
240,Carol,Murphy,Ophthalmology,5551401234,carol.m@example.com,Ophthalmology,7
241,Eric,Bell,Cardiology,5551412345,eric.b@example.com,Cardiology,12
242,Margaret,Bailey,Neurology,5551423456,margaret.b@example.com,Neurology,10
243,Larry,Rivera,Orthopedics,5551434567,larry.r@example.com,Orthopedics,9
244,Lisa,Cooper,Dermatology,5551445678,lisa.c@example.com,Dermatology,8
245,Steven,Richardson,Pediatrics,5551456789,steven.r@example.com,Pediatrics,15
246,Barbara,Howard,Oncology,5551467890,barbara.h@example.com,Oncology,11
247,Richard,Cox,Endocrinology,5551478901,richard.c@example.com,Endocrinology,10
248,Deborah,Ward,Anesthesiology,5551489012,deborah.w@example.com,Anesthesiology,14
249,Ronald,Torres,Gastroenterology,5551490123,ronald.t@example.com,Gastroenterology,13
250,Cynthia,Peterson,Ophthalmology,5551501234,cynthia.p@example.com,Ophthalmology,12
